,DATE_TIME_CST,LATITUDE,LONGITUDE,WEATHER_ID,WEATHER_DESCRIPTION,WEATHER_ICON,TEMPERATURE,HUMIDITY_PERCENT,VISIBILITY_METERS,WIND_SPEED_MPH,DANGER_LEVELS
164,04-24-2022 19:40:22,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
165,04-24-2022 19:40:24,32.9397,-96.764,201,thunderstorm with rain,11d,66.56,87,4828,16.11,MODERATE
166,04-24-2022 19:40:25,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
167,04-24-2022 19:40:26,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
168,04-24-2022 19:40:27,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
169,04-24-2022 19:40:29,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
170,04-24-2022 19:40:30,32.935,-96.715,201,thunderstorm with rain,11d,66.7,86,4828,16.11,MODERATE
171,04-24-2022 19:40:32,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
172,04-24-2022 19:40:33,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
173,04-24-2022 19:40:35,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
174,04-24-2022 19:40:36,32.9397,-96.764,201,thunderstorm with rain,11d,66.56,87,4828,16.11,MODERATE
175,04-24-2022 19:40:37,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
176,04-24-2022 19:40:38,32.935,-96.715,201,thunderstorm with rain,11d,66.7,86,4828,16.11,MODERATE
177,04-24-2022 19:40:40,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
178,04-24-2022 19:40:41,32.9354,-96.682,201,thunderstorm with rain,11d,66.9,86,4828,16.11,MODERATE
179,04-24-2022 19:40:42,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
180,04-24-2022 19:40:43,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
181,04-24-2022 19:40:45,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
182,04-24-2022 19:40:46,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
183,04-24-2022 19:40:47,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
184,04-24-2022 19:40:48,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
185,04-24-2022 19:40:49,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
186,04-24-2022 19:40:51,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
187,04-24-2022 19:40:52,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
188,04-24-2022 19:40:53,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
189,04-24-2022 19:40:54,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
190,04-24-2022 19:40:56,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
191,04-24-2022 19:40:57,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
192,04-24-2022 19:40:58,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
193,04-24-2022 19:40:59,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
194,04-24-2022 19:41:00,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
195,04-24-2022 19:41:02,32.9381,-96.733,201,thunderstorm with rain,11d,66.7,87,4828,16.11,MODERATE
196,04-24-2022 19:41:03,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
197,04-24-2022 19:41:04,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
198,04-24-2022 19:41:07,32.945,-96.761,201,thunderstorm with rain,11d,66.36,87,4828,16.11,MODERATE
199,04-24-2022 19:41:08,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
200,04-24-2022 19:41:09,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
201,04-24-2022 19:41:11,32.9453,-96.725,501,moderate rain,10d,66.42,87,4828,16.11,MODERATE
202,04-24-2022 19:41:14,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
203,04-24-2022 19:41:15,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
204,04-24-2022 19:41:17,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
205,04-24-2022 19:41:20,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
206,04-24-2022 19:41:21,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
207,04-24-2022 19:41:22,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
208,04-24-2022 19:41:24,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
209,04-24-2022 19:41:25,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
210,04-24-2022 19:41:27,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
211,04-24-2022 19:41:29,32.9467,-96.695,201,thunderstorm with rain,11d,66.54,87,4828,16.11,MODERATE
212,04-24-2022 19:41:30,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
213,04-24-2022 19:41:31,32.9453,-96.725,501,moderate rain,10d,66.42,87,4828,16.11,MODERATE
214,04-24-2022 19:41:33,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
215,04-24-2022 19:41:34,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
216,04-24-2022 19:41:35,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
217,04-24-2022 19:41:36,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
218,04-24-2022 19:41:37,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
219,04-24-2022 19:41:39,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
220,04-24-2022 19:41:40,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
221,04-24-2022 19:41:41,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
222,04-24-2022 19:41:42,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
223,04-24-2022 19:41:44,32.945,-96.761,201,thunderstorm with rain,11d,66.36,87,4828,16.11,MODERATE
224,04-24-2022 19:41:45,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
225,04-24-2022 19:41:46,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
226,04-24-2022 19:41:47,32.9451,-96.739,501,moderate rain,10d,66.4,87,4828,16.11,MODERATE
227,04-24-2022 19:41:49,32.9453,-96.725,501,moderate rain,10d,66.42,87,4828,16.11,MODERATE
228,04-24-2022 19:41:50,32.9484,-96.707,201,thunderstorm with rain,11d,66.43,87,4828,16.11,MODERATE
