"US0075 , US , 32.9407 , -96.744"
"US0075 , US , 32.9896 , -96.709"
"US0075 , US , 32.9395 , -96.745"
"US0075 , US , 32.9392 , -96.745"
"US0075 , US , 32.9391 , -96.746"
"US0075 , US , 32.9901 , -96.709"
"SH0190 , SH , 32.9869 , -96.665"
"SH0190 , SH , 32.9848 , -96.664"
"US0075 , US , 32.9808 , -96.713"
"US0075 , US , 32.9423 , -96.742"
"US0075 , US , 32.9798 , -96.713"
"US0075 , US , 32.9792 , -96.713"
"US0075 , US , 32.9785 , -96.714"
"US0075 , US , 32.9763 , -96.715"
"US0075 , US , 32.9728 , -96.717"
"US0075 , US , 32.9685 , -96.719"
"US0075 , US , 32.9375 , -96.748"
"US0075 , US , 32.9374 , -96.748"
"US0075 , US , 32.9567 , -96.730"
"US0075 , US , 32.9562 , -96.730"
"US0075 , US , 32.9558 , -96.730"
"US0075 , US , 32.9553 , -96.731"
"US0075 , US , 32.9548 , -96.731"
"US0075 , US , 32.9538 , -96.732"
"US0075 , US , 32.9537 , -96.732"
"US0075 , US , 32.9535 , -96.732"
"US0075 , US , 32.9531 , -96.732"
"US0075 , US , 32.9527 , -96.732"
"US0075 , US , 32.9524 , -96.733"
"US0075 , US , 32.9517 , -96.733"
"US0075 , US , 32.9511 , -96.733"
"US0075 , US , 32.9509 , -96.734"
"US0075 , US , 32.9503 , -96.734"
"US0075 , US , 32.9499 , -96.734"
"US0075 , US , 32.9487 , -96.735"
"US0075 , US , 32.9462 , -96.737"
"US0075 , US , 32.9445 , -96.739"
"US0075 , US , 32.9441 , -96.739"
"US0075 , US , 32.9820 , -96.712"
"US0075 , US , 32.9388 , -96.746"
"US0075 , US , 32.9377 , -96.748"
"SH0190 , SH , 32.9845 , -96.664"
"US0075 , US , 32.9635 , -96.724"
"US0075 , US , 32.9882 , -96.710"
"US0075 , US , 32.9865 , -96.710"
"SH0190 , SH , 32.9971 , -96.669"
"US0075 , US , 32.9993 , -96.708"
"US0075 , US , 32.9959 , -96.708"
"US0075 , US , 32.9954 , -96.708"
"US0075 , US , 32.9655 , -96.721"
"US0075 , US , 32.9653 , -96.722"
"US0075 , US , 32.9642 , -96.723"
"US0075 , US , 32.9596 , -96.728"
"US0075 , US , 32.9588 , -96.728"
"US0075 , US , 32.9585 , -96.729"
"US0075 , US , 32.9580 , -96.729"
"SH0190 , SH , 32.9966 , -96.669"
"SH0190 , SH , 32.9934 , -96.667"
"SH0190 , SH , 32.9927 , -96.667"
"SH0190 , SH , 32.9921 , -96.667"
"SH0190 , SH , 32.9910 , -96.666"
"SH0190 , SH , 32.9903 , -96.666"
"SH0190 , SH , 32.9877 , -96.665"
"BRIARIDGE RD , LS , 32.9577 , -96.769"
"CARTHAGE LN , LS , 32.9312 , -96.715"
"CARTHAGE LN , LS , 32.9313 , -96.715"
"EL PENSADOR DR , LS , 32.9652 , -96.769"
"EL PENSADOR DR , LS , 32.9652 , -96.768"
"FALLMEADOW LN , LS , 32.9586 , -96.769"
"DRIVE K  , LS , 32.9351 , -96.748"
"HABERSHAM LN , LS , 32.9539 , -96.769"
"LA COSA DR , LS , 32.9595 , -96.769"
"LAUDER LN , LS , 32.9764 , -96.768"
"PRESTONWOOD DR , LS , 32.9373 , -96.748"
"WATERFALL WAY , LS , 32.9397 , -96.764"
"HIGH PLATEAU DR , LS , 32.9551 , -96.682"
"BRIAROAKS DR , LS , 32.9354 , -96.682"
"GREENVIEW DR , LS , 32.9429 , -96.682"
"HOLFORD RD , LS , 32.9844 , -96.647"
"IVANHOE LN , LS , 32.9644 , -96.682"
"MOONLIGHT DR , LS , 32.9918 , -96.613"
"PARK VISTA RD , LS , 33.0043 , -96.626"
"PARK VISTA RD , LS , 33.0044 , -96.626"
"PARK VISTA RD , LS , 33.0045 , -96.626"
"PARK VISTA RD , LS , 33.0047 , -96.627"
"PARK VISTA RD , LS , 33.0050 , -96.627"
"SAINT THOMAS DR , LS , 33.0043 , -96.622"
"BALTIMORE DR , LS , 32.9336 , -96.700"
"BALTIMORE DR , LS , 32.9335 , -96.695"
"BALTIMORE DR , LS , 32.9335 , -96.690"
"BALTIMORE DR , LS , 32.9335 , -96.689"
"BALTIMORE DR , LS , 32.9335 , -96.688"
"BALTIMORE DR , LS , 32.9335 , -96.686"
"BALTIMORE DR , LS , 32.9335 , -96.685"
"BALTIMORE DR , LS , 32.9334 , -96.685"
"BALTIMORE DR , LS , 32.9333 , -96.685"
"BALTIMORE DR , LS , 32.9333 , -96.684"
"BALTIMORE DR , LS , 32.9333 , -96.683"
"BALTIMORE DR , LS , 32.9346 , -96.683"
"GRACE DR , LS , 32.9410 , -96.725"
"GRACE DR , LS , 32.9411 , -96.725"
"GRACE DR , LS , 32.9421 , -96.725"
"HAYLEY CT , LS , 32.9949 , -96.646"
"HAYLEY CT , LS , 32.9955 , -96.646"
"HAYLEY CT , LS , 32.9957 , -96.646"
"HAYLEY CT , LS , 32.9962 , -96.646"
"HAYLEY CT , LS , 32.9964 , -96.646"
"HAYLEY CT , LS , 32.9967 , -96.646"
"MEADOW VIEW CIR , LS , 32.9723 , -96.755"
"MEADOW VIEW CIR , LS , 32.9723 , -96.754"
"RIDGE CREEK DR , LS , 32.9779 , -96.687"
"RIDGE CREEK DR , LS , 32.9777 , -96.685"
"RIDGE CREEK DR , LS , 32.9772 , -96.684"
"CRESSIDE LN , LS , 32.9364 , -96.716"
"CRESSIDE LN , LS , 32.9372 , -96.716"
"CRESSIDE LN , LS , 32.9376 , -96.716"
"GALAHAD LN , LS , 32.9978 , -96.621"
"GALAHAD LN , LS , 32.9978 , -96.619"
"BINLEY DR , LS , 32.9890 , -96.648"
"BINLEY DR , LS , 32.9889 , -96.645"
"BINLEY DR , LS , 32.9897 , -96.642"
"CIVIC CENTER DR , LS , 32.9601 , -96.733"
"CIVIC CENTER DR , LS , 32.9608 , -96.733"
"ARVADA DR , LS , 32.9714 , -96.696"
"ARVADA DR , LS , 32.9715 , -96.694"
"ARVADA DR , LS , 32.9714 , -96.693"
"ARVADA DR , LS , 32.9714 , -96.692"
"ARVADA DR , LS , 32.9711 , -96.690"
"ARVADA DR , LS , 32.9709 , -96.690"
"ARVADA DR , LS , 32.9707 , -96.689"
"ARVADA DR , LS , 32.9706 , -96.689"
"ARVADA DR , LS , 32.9705 , -96.689"
"ARVADA DR , LS , 32.9704 , -96.687"
"RIDGEMOOR DR , LS , 32.9500 , -96.682"
"EDGEWOOD DR , LS , 32.9358 , -96.712"
"EDGEWOOD DR , LS , 32.9359 , -96.705"
"MAPLELEAF LN , LS , 32.9976 , -96.658"
"MAPLELEAF LN , LS , 32.9990 , -96.658"
"DELMONT DR , LS , 32.9485 , -96.763"
"DELMONT DR , LS , 32.9485 , -96.761"
"DELMONT DR , LS , 32.9488 , -96.760"
"DELMONT DR , LS , 32.9492 , -96.759"
"DELMONT DR , LS , 32.9493 , -96.759"
"DELMONT DR , LS , 32.9493 , -96.758"
"CHAMPION CT , LS , 32.9784 , -96.684"
"CHAMPION CT , LS , 32.9788 , -96.684"
"LILLY LN , LS , 32.9874 , -96.672"
"BRIARFIELD DR , LS , 32.9856 , -96.725"
"DAFFODIL DR , LS , 32.9892 , -96.672"
"DAFFODIL DR , LS , 32.9891 , -96.671"
"OLD BUCKINGHAM RD , LS , 32.9327 , -96.724"
"OLD BUCKINGHAM RD , LS , 32.9326 , -96.723"
"OLD BUCKINGHAM RD , LS , 32.9325 , -96.722"
"OLD BUCKINGHAM RD , LS , 32.9324 , -96.722"
"OLD BUCKINGHAM RD , LS , 32.9323 , -96.722"
"OLD BUCKINGHAM RD , LS , 32.9321 , -96.721"
"HUNTERS GLEN CT , LS , 32.9625 , -96.685"
"HUNTERS GLEN CT , LS , 32.9626 , -96.685"
"HUNTERS GLEN CT , LS , 32.9627 , -96.685"
"HUNTERS GLEN CT , LS , 32.9631 , -96.685"
"MEADOW GLEN ST , LS , 32.9650 , -96.698"
"FLAT CREEK PL , LS , 32.9791 , -96.739"
"FLAT CREEK PL , LS , 32.9793 , -96.738"
"BARRINGTON DR , LS , 33.0026 , -96.618"
"GREENCOVE LN , LS , 32.9484 , -96.707"
"HIDDEN DR , LS , 32.9496 , -96.687"
"PRESTWICK LN , LS , 32.9749 , -96.754"
"PRESTWICK LN , LS , 32.9750 , -96.752"
"PRESTWICK LN , LS , 32.9751 , -96.752"
"DOVE CREEK LN , LS , 32.9859 , -96.645"
"DOVE CREEK LN , LS , 32.9861 , -96.645"
"DOVE CREEK LN , LS , 32.9871 , -96.645"
"DOVE CREEK LN , LS , 32.9879 , -96.645"
"GOLDEN WILLOW LN , LS , 32.9872 , -96.676"
"AMHERST AVE , LS , 32.9497 , -96.693"
"AMHERST AVE , LS , 32.9518 , -96.693"
"AMHERST AVE , LS , 32.9530 , -96.693"
"ELK GROVE DR , LS , 32.9612 , -96.686"
"ELK GROVE DR , LS , 32.9613 , -96.686"
"ELK GROVE DR , LS , 32.9638 , -96.686"
"ELK GROVE DR , LS , 32.9675 , -96.686"
"ELK GROVE DR , LS , 32.9679 , -96.686"
"LAGUNA DR , LS , 32.9428 , -96.753"
"LAGUNA DR , LS , 32.9431 , -96.753"
"LAGUNA DR , LS , 32.9432 , -96.753"
"LAGUNA DR , LS , 32.9434 , -96.754"
"LAGUNA DR , LS , 32.9438 , -96.754"
"LAGUNA DR , LS , 32.9439 , -96.754"
"LAGUNA DR , LS , 32.9465 , -96.753"
"BROOK GLEN PL , LS , 32.9922 , -96.722"
"CROOKED CREEK DR , LS , 32.9933 , -96.714"
"PARK VISTA RD , LS , 32.9969 , -96.624"
"PARK VISTA RD , LS , 32.9969 , -96.625"
"PARK VISTA RD , LS , 32.9984 , -96.625"
"PARK VISTA RD , LS , 33.0005 , -96.625"
"PARK VISTA RD , LS , 33.0015 , -96.625"
"PARK VISTA RD , LS , 33.0029 , -96.625"
"PARK VISTA RD , LS , 33.0040 , -96.626"
"PARK VISTA RD , LS , 33.0041 , -96.626"
"PARK VISTA RD , LS , 33.0042 , -96.626"
"KINDRED LN , LS , 32.9717 , -96.745"
"KINDRED LN , LS , 32.9716 , -96.745"
"COMMERCE DR , LS , 32.9659 , -96.709"
"NEW CASTLE DR , LS , 32.9996 , -96.617"
"NEW CASTLE DR , LS , 32.9996 , -96.616"
"NEW CASTLE DR , LS , 32.9991 , -96.616"
"NEW CASTLE DR , LS , 32.9991 , -96.615"
"NEW CASTLE DR , LS , 32.9990 , -96.614"
"BLUEBONNET DR , LS , 32.9950 , -96.684"
"BLUEBONNET DR , LS , 32.9953 , -96.679"
"BROOKVALE DR , LS , 32.9908 , -96.645"
"BROOKVALE DR , LS , 32.9909 , -96.645"
"BROOKVALE DR , LS , 32.9914 , -96.645"
"CARRINGTON DR , LS , 32.9980 , -96.616"
"CARRINGTON DR , LS , 32.9983 , -96.617"
"APPLERIDGE DR , LS , 32.9865 , -96.636"
"APPLERIDGE DR , LS , 32.9864 , -96.635"
"APPLERIDGE DR , LS , 32.9864 , -96.634"
"APPLERIDGE DR , LS , 32.9865 , -96.633"
"APPLERIDGE DR , LS , 32.9865 , -96.632"
"APPLERIDGE DR , LS , 32.9865 , -96.631"
"APPLERIDGE DR , LS , 32.9865 , -96.630"
"ENGLECREST DR , LS , 32.9702 , -96.697"
"LAHINCH CIR , LS , 32.9355 , -96.717"
"LAHINCH CIR , LS , 32.9357 , -96.717"
"CAMPBELL CT , LS , 32.9745 , -96.733"
"CAMPBELL CT , LS , 32.9746 , -96.733"
"PROVINCETOWN LN , LS , 32.9683 , -96.739"
"PROVINCETOWN LN , LS , 32.9684 , -96.739"
"PROVINCETOWN LN , LS , 32.9691 , -96.738"
"PROVINCETOWN LN , LS , 32.9699 , -96.738"
"PROVINCETOWN LN , LS , 32.9739 , -96.736"
"CYPRESS DR , LS , 32.9607 , -96.766"
"CYPRESS DR , LS , 32.9607 , -96.765"
"CYPRESS DR , LS , 32.9608 , -96.762"
"KIRBY LN , LS , 32.9609 , -96.742"
"KIRBY LN , LS , 32.9616 , -96.742"
"KIRBY LN , LS , 32.9618 , -96.741"
"KIRBY LN , LS , 32.9619 , -96.740"
"MORONEY DR , LS , 32.9948 , -96.635"
"MORONEY DR , LS , 32.9965 , -96.635"
"MORONEY DR , LS , 32.9968 , -96.635"
"MORONEY DR , LS , 32.9975 , -96.635"
"MORONEY DR , LS , 33.0009 , -96.635"
"MORONEY DR , LS , 33.0012 , -96.635"
"OAKMONT DR , LS , 32.9341 , -96.706"
"OAKMONT DR , LS , 32.9337 , -96.706"
